iteration,avg_ctr,topic,domain
10,0.007179999999999999,Spray Bottles,ecommerce
11,0.006840000000000001,Spray Bottles,ecommerce
12,0.00729,Spray Bottles,ecommerce
13,0.007819999999999999,Spray Bottles,ecommerce
14,0.007460000000000001,Spray Bottles,ecommerce
0,0.0025200000000000005,Cookware Sets,ecommerce
1,0.00405,Cookware Sets,ecommerce
2,0.00564,Cookware Sets,ecommerce
3,0.00711,Cookware Sets,ecommerce
4,0.007499999999999998,Cookware Sets,ecommerce
5,0.008230000000000001,Cookware Sets,ecommerce
6,0.008519999999999998,Cookware Sets,ecommerce
7,0.00855,Cookware Sets,ecommerce
8,0.007979999999999998,Cookware Sets,ecommerce
9,0.00854,Cookware Sets,ecommerce
10,0.008010000000000001,Cookware Sets,ecommerce
11,0.008559999999999998,Cookware Sets,ecommerce
12,0.008539999999999999,Cookware Sets,ecommerce
13,0.008549999999999999,Cookware Sets,ecommerce
14,0.008,Cookware Sets,ecommerce
0,0.0007300000000000001,TV Antennas,ecommerce
1,0.0011400000000000002,TV Antennas,ecommerce
2,0.0017100000000000001,TV Antennas,ecommerce
3,0.0021199999999999995,TV Antennas,ecommerce
4,0.0021,TV Antennas,ecommerce
5,0.0025800000000000003,TV Antennas,ecommerce
6,0.00305,TV Antennas,ecommerce
7,0.00297,TV Antennas,ecommerce
8,0.0034699999999999996,TV Antennas,ecommerce
9,0.00341,TV Antennas,ecommerce
10,0.0034199999999999994,TV Antennas,ecommerce
11,0.0035900000000000003,TV Antennas,ecommerce
12,0.00391,TV Antennas,ecommerce
13,0.0036899999999999997,TV Antennas,ecommerce
14,0.0036300000000000004,TV Antennas,ecommerce
0,0.00073,DVI,ecommerce
1,0.0016300000000000002,DVI,ecommerce
2,0.0021699999999999996,DVI,ecommerce
3,0.00262,DVI,ecommerce
4,0.0030299999999999997,DVI,ecommerce
5,0.0035199999999999997,DVI,ecommerce
6,0.0036999999999999997,DVI,ecommerce
7,0.00366,DVI,ecommerce
8,0.00398,DVI,ecommerce
9,0.00327,DVI,ecommerce
10,0.003909999999999999,DVI,ecommerce
11,0.00358,DVI,ecommerce
12,0.00402,DVI,ecommerce
13,0.00425,DVI,ecommerce
14,0.00413,DVI,ecommerce
0,0.0015699999999999998,Measuring Tools & Scales,ecommerce
1,0.00313,Measuring Tools & Scales,ecommerce
2,0.00385,Measuring Tools & Scales,ecommerce
3,0.00397,Measuring Tools & Scales,ecommerce
4,0.005019999999999999,Measuring Tools & Scales,ecommerce
5,0.00635,Measuring Tools & Scales,ecommerce
6,0.006399999999999999,Measuring Tools & Scales,ecommerce
7,0.007060000000000001,Measuring Tools & Scales,ecommerce
8,0.0065499999999999985,Measuring Tools & Scales,ecommerce
9,0.006380000000000001,Measuring Tools & Scales,ecommerce
10,0.006379999999999999,Measuring Tools & Scales,ecommerce
11,0.006090000000000002,Measuring Tools & Scales,ecommerce
12,0.006879999999999999,Measuring Tools & Scales,ecommerce
13,0.00643,Measuring Tools & Scales,ecommerce
14,0.006879999999999999,Measuring Tools & Scales,ecommerce

