iteration,avg_ctr,topic,persona
9,5.0,Artificial Superintelligence,Brand Reputation
0,5.0,Artificial Superintelligence,Features & Functionality
1,5.0,Artificial Superintelligence,Features & Functionality
2,5.0,Artificial Superintelligence,Features & Functionality
3,5.0,Artificial Superintelligence,Features & Functionality
4,5.0,Artificial Superintelligence,Features & Functionality
5,5.0,Artificial Superintelligence,Features & Functionality
6,5.0,Artificial Superintelligence,Features & Functionality
7,5.0,Artificial Superintelligence,Features & Functionality
8,5.0,Artificial Superintelligence,Features & Functionality
9,5.0,Artificial Superintelligence,Features & Functionality
0,5.0,Artificial Superintelligence,Ethical Considerations
1,5.0,Artificial Superintelligence,Ethical Considerations
2,5.0,Artificial Superintelligence,Ethical Considerations
3,5.0,Artificial Superintelligence,Ethical Considerations
4,5.0,Artificial Superintelligence,Ethical Considerations
5,5.0,Artificial Superintelligence,Ethical Considerations
6,5.0,Artificial Superintelligence,Ethical Considerations
7,5.0,Artificial Superintelligence,Ethical Considerations
8,5.0,Artificial Superintelligence,Ethical Considerations
9,5.0,Artificial Superintelligence,Ethical Considerations
0,5.0,Artificial Superintelligence,Discussion-Focused
1,5.0,Artificial Superintelligence,Discussion-Focused
2,5.0,Artificial Superintelligence,Discussion-Focused
3,5.0,Artificial Superintelligence,Discussion-Focused
4,5.0,Artificial Superintelligence,Discussion-Focused
5,5.0,Artificial Superintelligence,Discussion-Focused
6,5.0,Artificial Superintelligence,Discussion-Focused
7,5.0,Artificial Superintelligence,Discussion-Focused
8,5.0,Artificial Superintelligence,Discussion-Focused
9,5.0,Artificial Superintelligence,Discussion-Focused
0,5.0,Artificial Superintelligence,History-Focused
1,5.0,Artificial Superintelligence,History-Focused
2,5.0,Artificial Superintelligence,History-Focused
3,5.0,Artificial Superintelligence,History-Focused
4,5.0,Artificial Superintelligence,History-Focused
5,5.0,Artificial Superintelligence,History-Focused
6,5.0,Artificial Superintelligence,History-Focused
7,5.0,Artificial Superintelligence,History-Focused
8,5.0,Artificial Superintelligence,History-Focused
9,5.0,Artificial Superintelligence,History-Focused
0,5.0,Artificial Superintelligence,Event-Focused
1,5.0,Artificial Superintelligence,Event-Focused
2,5.0,Artificial Superintelligence,Event-Focused
3,5.0,Artificial Superintelligence,Event-Focused
4,5.0,Artificial Superintelligence,Event-Focused
5,5.0,Artificial Superintelligence,Event-Focused
6,5.0,Artificial Superintelligence,Event-Focused
7,5.0,Artificial Superintelligence,Event-Focused
8,5.0,Artificial Superintelligence,Event-Focused
9,5.0,Artificial Superintelligence,Event-Focused
0,5.0,Artificial Superintelligence,Person-Focused
1,5.0,Artificial Superintelligence,Person-Focused
2,5.0,Artificial Superintelligence,Person-Focused
3,5.0,Artificial Superintelligence,Person-Focused
4,5.0,Artificial Superintelligence,Person-Focused
5,5.0,Artificial Superintelligence,Person-Focused
6,5.0,Artificial Superintelligence,Person-Focused
7,5.0,Artificial Superintelligence,Person-Focused
8,5.0,Artificial Superintelligence,Person-Focused
9,5.0,Artificial Superintelligence,Person-Focused
0,5.0,Artificial Superintelligence,Location-Focused
1,5.0,Artificial Superintelligence,Location-Focused
2,5.0,Artificial Superintelligence,Location-Focused
3,5.0,Artificial Superintelligence,Location-Focused
4,5.0,Artificial Superintelligence,Location-Focused
5,5.0,Artificial Superintelligence,Location-Focused
6,5.0,Artificial Superintelligence,Location-Focused
7,5.0,Artificial Superintelligence,Location-Focused
8,5.0,Artificial Superintelligence,Location-Focused
9,5.0,Artificial Superintelligence,Location-Focused
0,5.0,The Beatles' rooftop concert,Price
1,5.0,The Beatles' rooftop concert,Price
2,5.0,The Beatles' rooftop concert,Price
3,5.0,The Beatles' rooftop concert,Price
4,5.0,The Beatles' rooftop concert,Price
5,5.0,The Beatles' rooftop concert,Price
6,5.0,The Beatles' rooftop concert,Price
7,5.0,The Beatles' rooftop concert,Price
8,5.0,The Beatles' rooftop concert,Price
9,5.0,The Beatles' rooftop concert,Price
0,5.0,The Beatles' rooftop concert,Quality
1,5.0,The Beatles' rooftop concert,Quality
2,5.0,The Beatles' rooftop concert,Quality
3,5.0,The Beatles' rooftop concert,Quality
4,5.0,The Beatles' rooftop concert,Quality
5,5.0,The Beatles' rooftop concert,Quality
6,5.0,The Beatles' rooftop concert,Quality
7,5.0,The Beatles' rooftop concert,Quality
8,5.0,The Beatles' rooftop concert,Quality
9,5.0,The Beatles' rooftop concert,Quality
0,5.0,The Beatles' rooftop concert,Brand Reputation
1,5.0,The Beatles' rooftop concert,Brand Reputation
2,5.0,The Beatles' rooftop concert,Brand Reputation
3,5.0,The Beatles' rooftop concert,Brand Reputation
4,5.0,The Beatles' rooftop concert,Brand Reputation
5,5.0,The Beatles' rooftop concert,Brand Reputation
6,5.0,The Beatles' rooftop concert,Brand Reputation
7,5.0,The Beatles' rooftop concert,Brand Reputation
8,5.0,The Beatles' rooftop concert,Brand Reputation
9,5.0,The Beatles' rooftop concert,Brand Reputation
0,5.0,The Beatles' rooftop concert,Features & Functionality
1,5.0,The Beatles' rooftop concert,Features & Functionality
2,5.0,The Beatles' rooftop concert,Features & Functionality
3,5.0,The Beatles' rooftop concert,Features & Functionality
4,5.0,The Beatles' rooftop concert,Features & Functionality
5,5.0,The Beatles' rooftop concert,Features & Functionality
6,5.0,The Beatles' rooftop concert,Features & Functionality
7,5.0,The Beatles' rooftop concert,Features & Functionality
8,5.0,The Beatles' rooftop concert,Features & Functionality
9,5.0,The Beatles' rooftop concert,Features & Functionality
0,5.0,The Beatles' rooftop concert,Ethical Considerations
1,5.0,The Beatles' rooftop concert,Ethical Considerations
2,5.0,The Beatles' rooftop concert,Ethical Considerations
3,5.0,The Beatles' rooftop concert,Ethical Considerations
4,5.0,The Beatles' rooftop concert,Ethical Considerations
5,5.0,The Beatles' rooftop concert,Ethical Considerations
6,5.0,The Beatles' rooftop concert,Ethical Considerations
7,5.0,The Beatles' rooftop concert,Ethical Considerations
8,5.0,The Beatles' rooftop concert,Ethical Considerations
9,5.0,The Beatles' rooftop concert,Ethical Considerations
0,5.0,The Beatles' rooftop concert,Discussion-Focused
1,5.0,The Beatles' rooftop concert,Discussion-Focused
2,5.0,The Beatles' rooftop concert,Discussion-Focused
3,5.0,The Beatles' rooftop concert,Discussion-Focused
4,5.0,The Beatles' rooftop concert,Discussion-Focused
5,5.0,The Beatles' rooftop concert,Discussion-Focused
6,5.0,The Beatles' rooftop concert,Discussion-Focused
7,5.0,The Beatles' rooftop concert,Discussion-Focused
8,5.0,The Beatles' rooftop concert,Discussion-Focused
9,5.0,The Beatles' rooftop concert,Discussion-Focused
0,5.0,The Beatles' rooftop concert,History-Focused
1,5.0,The Beatles' rooftop concert,History-Focused
2,5.0,The Beatles' rooftop concert,History-Focused
3,5.0,The Beatles' rooftop concert,History-Focused
4,5.0,The Beatles' rooftop concert,History-Focused
5,5.0,The Beatles' rooftop concert,History-Focused
6,5.0,The Beatles' rooftop concert,History-Focused
7,5.0,The Beatles' rooftop concert,History-Focused
8,5.0,The Beatles' rooftop concert,History-Focused
9,5.0,The Beatles' rooftop concert,History-Focused
0,5.0,The Beatles' rooftop concert,Event-Focused
1,5.0,The Beatles' rooftop concert,Event-Focused
2,5.0,The Beatles' rooftop concert,Event-Focused
3,5.0,The Beatles' rooftop concert,Event-Focused
4,5.0,The Beatles' rooftop concert,Event-Focused
5,5.0,The Beatles' rooftop concert,Event-Focused
6,5.0,The Beatles' rooftop concert,Event-Focused
7,5.0,The Beatles' rooftop concert,Event-Focused
8,5.0,The Beatles' rooftop concert,Event-Focused
9,5.0,The Beatles' rooftop concert,Event-Focused
0,5.0,The Beatles' rooftop concert,Person-Focused
1,5.0,The Beatles' rooftop concert,Person-Focused
2,5.0,The Beatles' rooftop concert,Person-Focused
3,5.0,The Beatles' rooftop concert,Person-Focused
4,5.0,The Beatles' rooftop concert,Person-Focused
5,5.0,The Beatles' rooftop concert,Person-Focused
6,5.0,The Beatles' rooftop concert,Person-Focused
7,5.0,The Beatles' rooftop concert,Person-Focused
8,5.0,The Beatles' rooftop concert,Person-Focused
9,5.0,The Beatles' rooftop concert,Person-Focused
0,5.0,The Beatles' rooftop concert,Location-Focused
1,5.0,The Beatles' rooftop concert,Location-Focused
2,5.0,The Beatles' rooftop concert,Location-Focused
3,5.0,The Beatles' rooftop concert,Location-Focused
4,5.0,The Beatles' rooftop concert,Location-Focused
5,5.0,The Beatles' rooftop concert,Location-Focused
6,5.0,The Beatles' rooftop concert,Location-Focused
7,5.0,The Beatles' rooftop concert,Location-Focused
8,5.0,The Beatles' rooftop concert,Location-Focused
9,5.0,The Beatles' rooftop concert,Location-Focused
0,5.0,Carl Jung,Price
1,5.0,Carl Jung,Price
2,5.0,Carl Jung,Price
3,5.0,Carl Jung,Price
4,5.0,Carl Jung,Price
5,5.0,Carl Jung,Price
6,5.0,Carl Jung,Price
7,5.0,Carl Jung,Price
8,5.0,Carl Jung,Price
9,5.0,Carl Jung,Price
0,5.0,Carl Jung,Quality
1,5.0,Carl Jung,Quality
2,5.0,Carl Jung,Quality
3,5.0,Carl Jung,Quality
4,5.0,Carl Jung,Quality
5,5.0,Carl Jung,Quality
6,5.0,Carl Jung,Quality
7,5.0,Carl Jung,Quality
8,5.0,Carl Jung,Quality
9,5.0,Carl Jung,Quality
0,5.0,Carl Jung,Brand Reputation
1,5.0,Carl Jung,Brand Reputation
2,5.0,Carl Jung,Brand Reputation
3,5.0,Carl Jung,Brand Reputation
4,5.0,Carl Jung,Brand Reputation
5,5.0,Carl Jung,Brand Reputation
6,5.0,Carl Jung,Brand Reputation
7,5.0,Carl Jung,Brand Reputation
8,5.0,Carl Jung,Brand Reputation
9,5.0,Carl Jung,Brand Reputation
0,5.0,Carl Jung,Features & Functionality
1,5.0,Carl Jung,Features & Functionality
2,5.0,Carl Jung,Features & Functionality
3,5.0,Carl Jung,Features & Functionality
4,5.0,Carl Jung,Features & Functionality
5,5.0,Carl Jung,Features & Functionality
6,5.0,Carl Jung,Features & Functionality
7,5.0,Carl Jung,Features & Functionality
8,5.0,Carl Jung,Features & Functionality
9,5.0,Carl Jung,Features & Functionality
0,5.0,Carl Jung,Ethical Considerations
1,5.0,Carl Jung,Ethical Considerations
2,5.0,Carl Jung,Ethical Considerations
3,5.0,Carl Jung,Ethical Considerations
4,5.0,Carl Jung,Ethical Considerations
5,5.0,Carl Jung,Ethical Considerations
6,5.0,Carl Jung,Ethical Considerations
7,5.0,Carl Jung,Ethical Considerations
8,5.0,Carl Jung,Ethical Considerations
9,5.0,Carl Jung,Ethical Considerations
0,5.0,Carl Jung,Discussion-Focused
1,5.0,Carl Jung,Discussion-Focused
2,5.0,Carl Jung,Discussion-Focused
3,5.0,Carl Jung,Discussion-Focused
4,5.0,Carl Jung,Discussion-Focused
5,5.0,Carl Jung,Discussion-Focused
6,5.0,Carl Jung,Discussion-Focused
7,5.0,Carl Jung,Discussion-Focused
8,5.0,Carl Jung,Discussion-Focused
9,5.0,Carl Jung,Discussion-Focused
0,5.0,Carl Jung,History-Focused
1,5.0,Carl Jung,History-Focused
2,5.0,Carl Jung,History-Focused
3,5.0,Carl Jung,History-Focused
4,5.0,Carl Jung,History-Focused
5,5.0,Carl Jung,History-Focused
6,5.0,Carl Jung,History-Focused
7,5.0,Carl Jung,History-Focused
8,5.0,Carl Jung,History-Focused
9,5.0,Carl Jung,History-Focused
0,5.0,Carl Jung,Event-Focused
1,5.0,Carl Jung,Event-Focused
2,5.0,Carl Jung,Event-Focused
3,5.0,Carl Jung,Event-Focused
4,5.0,Carl Jung,Event-Focused
5,5.0,Carl Jung,Event-Focused
6,5.0,Carl Jung,Event-Focused
7,5.0,Carl Jung,Event-Focused
8,5.0,Carl Jung,Event-Focused
9,5.0,Carl Jung,Event-Focused
0,5.0,Carl Jung,Person-Focused
1,5.0,Carl Jung,Person-Focused
2,5.0,Carl Jung,Person-Focused
3,5.0,Carl Jung,Person-Focused
4,5.0,Carl Jung,Person-Focused
5,5.0,Carl Jung,Person-Focused
6,5.0,Carl Jung,Person-Focused
7,5.0,Carl Jung,Person-Focused
8,5.0,Carl Jung,Person-Focused
9,5.0,Carl Jung,Person-Focused
0,5.0,Carl Jung,Location-Focused
1,5.0,Carl Jung,Location-Focused
2,5.0,Carl Jung,Location-Focused
3,5.0,Carl Jung,Location-Focused
4,5.0,Carl Jung,Location-Focused
5,5.0,Carl Jung,Location-Focused
6,5.0,Carl Jung,Location-Focused
7,5.0,Carl Jung,Location-Focused
8,5.0,Carl Jung,Location-Focused
9,5.0,Carl Jung,Location-Focused
0,5.0,History of film,Price
1,5.0,History of film,Price
2,5.0,History of film,Price
3,5.0,History of film,Price
4,5.0,History of film,Price
5,5.0,History of film,Price
6,5.0,History of film,Price
7,5.0,History of film,Price
8,5.0,History of film,Price
9,5.0,History of film,Price
0,5.0,History of film,Quality
1,5.0,History of film,Quality
2,5.0,History of film,Quality
3,5.0,History of film,Quality
4,5.0,History of film,Quality
5,5.0,History of film,Quality
6,5.0,History of film,Quality
7,5.0,History of film,Quality
8,5.0,History of film,Quality
9,5.0,History of film,Quality
0,5.0,History of film,Brand Reputation
1,5.0,History of film,Brand Reputation
2,5.0,History of film,Brand Reputation
3,5.0,History of film,Brand Reputation
4,5.0,History of film,Brand Reputation
5,5.0,History of film,Brand Reputation
6,5.0,History of film,Brand Reputation
7,5.0,History of film,Brand Reputation
8,5.0,History of film,Brand Reputation
9,5.0,History of film,Brand Reputation
0,5.0,History of film,Features & Functionality
1,5.0,History of film,Features & Functionality
2,5.0,History of film,Features & Functionality
3,5.0,History of film,Features & Functionality
4,5.0,History of film,Features & Functionality
5,5.0,History of film,Features & Functionality
6,5.0,History of film,Features & Functionality
7,5.0,History of film,Features & Functionality
8,5.0,History of film,Features & Functionality
9,5.0,History of film,Features & Functionality
0,5.0,History of film,Ethical Considerations
1,5.0,History of film,Ethical Considerations
2,5.0,History of film,Ethical Considerations
3,5.0,History of film,Ethical Considerations
4,5.0,History of film,Ethical Considerations
5,5.0,History of film,Ethical Considerations
6,5.0,History of film,Ethical Considerations
7,5.0,History of film,Ethical Considerations
8,5.0,History of film,Ethical Considerations
9,5.0,History of film,Ethical Considerations
0,5.0,History of film,Discussion-Focused
1,5.0,History of film,Discussion-Focused
2,5.0,History of film,Discussion-Focused
3,5.0,History of film,Discussion-Focused
4,5.0,History of film,Discussion-Focused
5,5.0,History of film,Discussion-Focused
6,5.0,History of film,Discussion-Focused
7,5.0,History of film,Discussion-Focused
8,5.0,History of film,Discussion-Focused
9,5.0,History of film,Discussion-Focused
0,5.0,History of film,History-Focused
1,5.0,History of film,History-Focused
2,5.0,History of film,History-Focused
3,5.0,History of film,History-Focused
4,5.0,History of film,History-Focused
5,5.0,History of film,History-Focused
6,5.0,History of film,History-Focused
7,5.0,History of film,History-Focused
8,5.0,History of film,History-Focused
9,5.0,History of film,History-Focused
0,5.0,History of film,Event-Focused
1,5.0,History of film,Event-Focused
2,5.0,History of film,Event-Focused
3,5.0,History of film,Event-Focused
4,5.0,History of film,Event-Focused
5,5.0,History of film,Event-Focused
6,5.0,History of film,Event-Focused
7,5.0,History of film,Event-Focused
8,5.0,History of film,Event-Focused
9,5.0,History of film,Event-Focused
0,5.0,History of film,Person-Focused
1,5.0,History of film,Person-Focused
2,5.0,History of film,Person-Focused
3,5.0,History of film,Person-Focused
4,5.0,History of film,Person-Focused
5,5.0,History of film,Person-Focused
6,5.0,History of film,Person-Focused
7,5.0,History of film,Person-Focused
8,5.0,History of film,Person-Focused
9,5.0,History of film,Person-Focused
0,5.0,History of film,Location-Focused
1,5.0,History of film,Location-Focused
2,5.0,History of film,Location-Focused
3,5.0,History of film,Location-Focused
4,5.0,History of film,Location-Focused
5,5.0,History of film,Location-Focused
6,5.0,History of film,Location-Focused
7,5.0,History of film,Location-Focused
8,5.0,History of film,Location-Focused
9,5.0,History of film,Location-Focused
0,5.0,Vinson Massif,Price
1,5.0,Vinson Massif,Price
2,5.0,Vinson Massif,Price
3,5.0,Vinson Massif,Price
4,5.0,Vinson Massif,Price
5,5.0,Vinson Massif,Price
6,5.0,Vinson Massif,Price
7,5.0,Vinson Massif,Price
8,5.0,Vinson Massif,Price
9,5.0,Vinson Massif,Price
0,5.0,Vinson Massif,Quality
1,5.0,Vinson Massif,Quality
2,5.0,Vinson Massif,Quality
3,5.0,Vinson Massif,Quality
4,5.0,Vinson Massif,Quality
5,5.0,Vinson Massif,Quality
6,5.0,Vinson Massif,Quality
7,5.0,Vinson Massif,Quality
8,5.0,Vinson Massif,Quality
9,5.0,Vinson Massif,Quality
0,5.0,Vinson Massif,Brand Reputation
1,5.0,Vinson Massif,Brand Reputation
2,5.0,Vinson Massif,Brand Reputation
3,5.0,Vinson Massif,Brand Reputation
4,5.0,Vinson Massif,Brand Reputation
5,5.0,Vinson Massif,Brand Reputation
6,5.0,Vinson Massif,Brand Reputation
7,5.0,Vinson Massif,Brand Reputation
8,5.0,Vinson Massif,Brand Reputation
9,5.0,Vinson Massif,Brand Reputation
0,5.0,Vinson Massif,Features & Functionality
1,5.0,Vinson Massif,Features & Functionality
2,5.0,Vinson Massif,Features & Functionality
3,5.0,Vinson Massif,Features & Functionality
4,5.0,Vinson Massif,Features & Functionality
5,5.0,Vinson Massif,Features & Functionality
6,5.0,Vinson Massif,Features & Functionality
7,5.0,Vinson Massif,Features & Functionality
8,5.0,Vinson Massif,Features & Functionality
9,5.0,Vinson Massif,Features & Functionality
0,5.0,Vinson Massif,Ethical Considerations
1,5.0,Vinson Massif,Ethical Considerations
2,5.0,Vinson Massif,Ethical Considerations
3,5.0,Vinson Massif,Ethical Considerations
4,5.0,Vinson Massif,Ethical Considerations
5,5.0,Vinson Massif,Ethical Considerations
6,5.0,Vinson Massif,Ethical Considerations
7,5.0,Vinson Massif,Ethical Considerations
